campaign_id,product_id,created_at,updated_at
1,1,2026-06-15 10:00:00,NULL
1,2,2026-06-15 10:00:00,NULL
2,3,2026-06-15 10:00:00,NULL
2,4,2026-06-15 10:00:00,NULL
3,5,2026-06-15 10:00:00,NULL
3,6,2026-06-15 10:00:00,NULL
4,7,2026-06-15 10:00:00,NULL
4,8,2026-06-15 10:00:00,NULL
5,9,2026-06-15 10:00:00,NULL
5,10,2026-06-15 10:00:00,NULL
6,11,2026-06-15 10:00:00,NULL
6,12,2026-06-15 10:00:00,NULL
7,13,2026-06-15 10:00:00,NULL
7,14,2026-06-15 10:00:00,NULL
7,15,2026-06-15 10:00:00,NULL
8,16,2026-06-15 10:00:00,NULL
8,17,2026-06-15 10:00:00,NULL
8,18,2026-06-15 10:00:00,NULL
9,19,2026-06-15 10:00:00,NULL
10,20,2026-06-15 10:00:00,NULL
10,21,2026-06-15 10:00:00,NULL
11,22,2026-06-15 10:00:00,NULL
12,23,2026-06-15 10:00:00,NULL
13,24,2026-06-15 10:00:00,NULL
13,1,2026-06-15 10:00:00,NULL
14,2,2026-06-15 10:00:00,NULL
14,3,2026-06-15 10:00:00,NULL
15,4,2026-06-15 10:00:00,NULL
16,5,2026-06-15 10:00:00,NULL
16,6,2026-06-15 10:00:00,NULL
17,7,2026-06-15 10:00:00,NULL
18,8,2026-06-15 10:00:00,NULL
18,9,2026-06-15 10:00:00,NULL
18,10,2026-06-15 10:00:00,NULL
19,11,2026-06-15 10:00:00,NULL
20,12,2026-06-15 10:00:00,NULL
20,13,2026-06-15 10:00:00,NULL
20,14,2026-06-15 10:00:00,NULL
21,15,2026-06-15 10:00:00,NULL
22,16,2026-06-15 10:00:00,NULL
22,17,2026-06-15 10:00:00,NULL
23,18,2026-06-15 10:00:00,NULL
23,19,2026-06-15 10:00:00,NULL
23,20,2026-06-15 10:00:00,NULL
24,21,2026-06-15 10:00:00,NULL
24,22,2026-06-15 10:00:00,NULL
25,23,2026-06-15 10:00:00,NULL
25,24,2026-06-15 10:00:00,NULL
25,1,2026-06-15 10:00:00,NULL
26,2,2026-06-15 10:00:00,NULL
26,3,2026-06-15 10:00:00,NULL
26,4,2026-06-15 10:00:00,NULL
27,5,2026-06-15 10:00:00,NULL
28,6,2026-06-15 10:00:00,NULL
29,7,2026-06-15 10:00:00,NULL
30,8,2026-06-15 10:00:00,NULL
31,9,2026-06-15 10:00:00,NULL
31,10,2026-06-15 10:00:00,NULL
32,11,2026-06-15 10:00:00,NULL
33,12,2026-06-15 10:00:00,NULL
34,13,2026-06-15 10:00:00,NULL
34,14,2026-06-15 10:00:00,NULL
34,15,2026-06-15 10:00:00,NULL
35,16,2026-06-15 10:00:00,NULL
35,17,2026-06-15 10:00:00,NULL
36,18,2026-06-15 10:00:00,NULL
36,19,2026-06-15 10:00:00,NULL
37,20,2026-06-15 10:00:00,NULL
37,21,2026-06-15 10:00:00,NULL
37,22,2026-06-15 10:00:00,NULL
38,23,2026-06-15 10:00:00,NULL
38,24,2026-06-15 10:00:00,NULL
38,1,2026-06-15 10:00:00,NULL
39,2,2026-06-15 10:00:00,NULL
40,3,2026-06-15 10:00:00,NULL
40,4,2026-06-15 10:00:00,NULL
41,5,2026-06-15 10:00:00,NULL
42,6,2026-06-15 10:00:00,NULL
42,7,2026-06-15 10:00:00,NULL
42,8,2026-06-15 10:00:00,NULL
43,9,2026-06-15 10:00:00,NULL
44,10,2026-06-15 10:00:00,NULL
44,11,2026-06-15 10:00:00,NULL
45,12,2026-06-15 10:00:00,NULL
46,13,2026-06-15 10:00:00,NULL
46,14,2026-06-15 10:00:00,NULL
47,15,2026-06-15 10:00:00,NULL
48,16,2026-06-15 10:00:00,NULL
49,17,2026-06-15 10:00:00,NULL
49,18,2026-06-15 10:00:00,NULL
50,19,2026-06-15 10:00:00,NULL
50,20,2026-06-15 10:00:00,NULL
