product_id,sku,variant_name,price,is_active,created_at,updated_at
1,HDR-CAP-MD,Medium,3.45,1,2024-01-15 08:00:00,
1,HDR-CAP-LG,Large,3.75,1,2024-01-15 08:00:00,
2,HDR-LAT-MD,Medium,3.45,1,2024-01-15 08:00:00,
2,HDR-LAT-LG,Large,3.75,1,2024-01-15 08:00:00,
3,HDR-FLT,Regular,3.15,1,2024-01-15 08:00:00,
4,HDR-CRM-MD,Medium,4.2,1,2024-01-15 08:00:00,
4,HDR-CRM-LG,Large,4.6,1,2024-01-15 08:00:00,
5,HDR-ESP,Regular,2.15,1,2024-01-15 08:00:00,
6,HDR-MOC-MD,Medium,4.0,1,2024-01-15 08:00:00,
6,HDR-MOC-LG,Large,4.6,1,2024-01-15 08:00:00,
7,HDR-WMO-MD,Medium,4.5,1,2024-01-15 08:00:00,
7,HDR-WMO-LG,Large,4.7,1,2024-01-15 08:00:00,
8,HDR-HCH-MD,Medium,4.2,1,2024-01-15 08:00:00,
8,HDR-HCH-LG,Large,4.6,1,2024-01-15 08:00:00,
9,CDR-CCF-MD,Medium,3.45,1,2024-01-15 08:00:00,
9,CDR-CCF-LG,Large,3.75,1,2024-01-15 08:00:00,
10,CDR-CMO-MD,Medium,4.0,1,2024-01-15 08:00:00,
10,CDR-CMO-LG,Large,4.6,1,2024-01-15 08:00:00,
11,CDR-ICT-MD,Medium,3.25,1,2024-01-15 08:00:00,
11,CDR-ICT-LG,Large,3.55,1,2024-01-15 08:00:00,
12,CDR-LMN-MD,Medium,3.35,1,2024-01-15 08:00:00,
12,CDR-LMN-LG,Large,3.75,1,2024-01-15 08:00:00,
13,SNK-SHC,Regular,5.6,1,2024-01-15 08:00:00,
14,SNK-SSM,Regular,5.5,1,2024-01-15 08:00:00,
